epoch,train_loss,train_mae,train_rmse,train_mape,train_time,val_loss,val_mae,val_rmse,val_mape,val_time
51,18.283017677596852,"tensor(18.2830, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.9737, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1316, device='cuda:0', grad_fn=<MeanBackward0>)",22.95413589477539,20.073635761554424,"tensor(20.0736, device='cuda:0')","tensor(32.5249, device='cuda:0')","tensor(0.1285, device='cuda:0')",2.6278622150421143
52,18.257755677911298,"tensor(18.2578, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.9319, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1314, device='cuda:0', grad_fn=<MeanBackward0>)",22.311476945877075,20.160550851088303,"tensor(20.1606, device='cuda:0')","tensor(32.5787, device='cuda:0')","tensor(0.1323, device='cuda:0')",2.257051467895508
53,18.23438068583042,"tensor(18.2344, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.8861, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1315, device='cuda:0', grad_fn=<MeanBackward0>)",22.197736263275146,20.262510061264038,"tensor(20.2625, device='cuda:0')","tensor(32.6916, device='cuda:0')","tensor(0.1279, device='cuda:0')",2.1888575553894043
54,18.175817827635175,"tensor(18.1758, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.8031, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1309, device='cuda:0', grad_fn=<MeanBackward0>)",22.438769102096558,20.08096040212191,"tensor(20.0810, device='cuda:0')","tensor(32.4902, device='cuda:0')","tensor(0.1299, device='cuda:0')",2.2349019050598145
55,18.116570822800263,"tensor(18.1166, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.7212, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1307, device='cuda:0', grad_fn=<MeanBackward0>)",22.1285138130188,20.16414576310378,"tensor(20.1641, device='cuda:0')","tensor(32.5631, device='cuda:0')","tensor(0.1317, device='cuda:0')",2.426891326904297
56,18.091908002201514,"tensor(18.0919, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.6804, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1304, device='cuda:0', grad_fn=<MeanBackward0>)",22.525675296783447,19.915439202235294,"tensor(19.9154, device='cuda:0')","tensor(32.3265, device='cuda:0')","tensor(0.1271, device='cuda:0')",2.668694019317627
57,18.04387640047677,"tensor(18.0439, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.6190, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1300, device='cuda:0', grad_fn=<MeanBackward0>)",22.568148374557495,20.004448432188767,"tensor(20.0044, device='cuda:0')","tensor(32.3411, device='cuda:0')","tensor(0.1275, device='cuda:0')",2.6273276805877686
58,18.047156913371026,"tensor(18.0472, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.5987, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1306, device='cuda:0', grad_fn=<MeanBackward0>)",22.918850660324097,19.91884862459623,"tensor(19.9188, device='cuda:0')","tensor(32.3357, device='cuda:0')","tensor(0.1273, device='cuda:0')",2.3414528369903564
59,17.9771669484392,"tensor(17.9772, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.5251, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1297, device='cuda:0', grad_fn=<MeanBackward0>)",22.745245218276978,19.992759310282192,"tensor(19.9928, device='cuda:0')","tensor(32.3977, device='cuda:0')","tensor(0.1277, device='cuda:0')",2.2913706302642822
60,17.926256644574902,"tensor(17.9263, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.4583, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1293, device='cuda:0', grad_fn=<MeanBackward0>)",21.811357736587524,20.084765846912678,"tensor(20.0848, device='cuda:0')","tensor(32.4822, device='cuda:0')","tensor(0.1271, device='cuda:0')",2.4323670864105225
61,17.92061052443106,"tensor(17.9206, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.4385, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1293, device='cuda:0', grad_fn=<MeanBackward0>)",21.709702014923096,19.92864035643064,"tensor(19.9286, device='cuda:0')","tensor(32.3075, device='cuda:0')","tensor(0.1287, device='cuda:0')",2.4378035068511963
62,17.884912490844727,"tensor(17.8849, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.3874, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1289, device='cuda:0', grad_fn=<MeanBackward0>)",21.757092237472534,19.83493027320275,"tensor(19.8349, device='cuda:0')","tensor(32.2424, device='cuda:0')","tensor(0.1290, device='cuda:0')",2.5032098293304443
63,17.85517276691485,"tensor(17.8552, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.3391, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1288, device='cuda:0', grad_fn=<MeanBackward0>)",22.821508169174194,19.80978751182556,"tensor(19.8098, device='cuda:0')","tensor(32.1895, device='cuda:0')","tensor(0.1278, device='cuda:0')",2.532651901245117
64,17.812913792042792,"tensor(17.8129, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.2858, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1285, device='cuda:0', grad_fn=<MeanBackward0>)",22.060566902160645,19.86554852815775,"tensor(19.8655, device='cuda:0')","tensor(32.2324, device='cuda:0')","tensor(0.1288, device='cuda:0')",2.641038417816162
65,17.810587919211084,"tensor(17.8106, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.2686, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1286, device='cuda:0', grad_fn=<MeanBackward0>)",22.7922945022583,19.879376457287716,"tensor(19.8794, device='cuda:0')","tensor(32.2805, device='cuda:0')","tensor(0.1290, device='cuda:0')",2.6731271743774414
66,17.774864842620076,"tensor(17.7749, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.2174, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1285, device='cuda:0', grad_fn=<MeanBackward0>)",22.991408109664917,19.805449458268974,"tensor(19.8054, device='cuda:0')","tensor(32.1881, device='cuda:0')","tensor(0.1273, device='cuda:0')",2.748098373413086
67,17.723276409921766,"tensor(17.7233, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.1588, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1280, device='cuda:0', grad_fn=<MeanBackward0>)",22.06771230697632,19.80765739771036,"tensor(19.8077, device='cuda:0')","tensor(32.1619, device='cuda:0')","tensor(0.1269, device='cuda:0')",2.586703300476074
68,17.716278353823892,"tensor(17.7163, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.1374, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1280, device='cuda:0', grad_fn=<MeanBackward0>)",22.55644202232361,19.87196118098039,"tensor(19.8720, device='cuda:0')","tensor(32.2503, device='cuda:0')","tensor(0.1291, device='cuda:0')",3.246926784515381
69,17.669748801219313,"tensor(17.6697, device='cuda:0', grad_fn=<MeanBackward0>)","tensor(29.0861, device='cuda:0', grad_fn=<SqrtBackward0>)","tensor(0.1276, device='cuda:0', grad_fn=<MeanBackward0>)",22.970624208450317,19.828326775477482,"tensor(19.8283, device='cuda:0')","tensor(32.1573, device='cuda:0')","tensor(0.1255, device='cuda:0')",2.2947421073913574
